"map_publisher","channel"
"together","paidtelevision"
"travchplus1","paidtelevision"
"travel","paidtelevision"
"travelxp","paidtelevision"
"truecri","paidtelevision"
"trueent","paidtelevision"
"truemov","paidtelevision"
"trupaidtelevision","paidtelevision"
"trupaidtelevisionplus1","paidtelevision"
"trutv","paidtelevision"
"trutvplus1","paidtelevision"
"ttpaidtelevision3","paidtelevision"
"ttpaidtelevision3h","paidtelevision"
"ttpaidtelevision3plus1","paidtelevision"
"tttv3","paidtelevision"
"tttv3h","paidtelevision"
"tttv3plus1","paidtelevision"
"turnersh","paidtelevision"
"univers","paidtelevision"
"universplus","paidtelevision"
"urdu1eur","paidtelevision"
"vault","paidtelevision"
"venuspaidtelevision","paidtelevision"
"vh1","paidtelevision"
"vintage","paidtelevision"
"viva","paidtelevision"
"wales3","paidtelevision"
"wales3h","paidtelevision"
"wales3plus1","paidtelevision"
"watch","paidtelevision"
"watchplus1","paidtelevision"
"wcpaidtelevision3","paidtelevision"
"wcpaidtelevision3h","paidtelevision"
"wcpaidtelevision3plus1","paidtelevision"
"wctv3","paidtelevision"
"wctv3h","paidtelevision"
"wctv3plus1","paidtelevision"
"west3","paidtelevision"
"west3plus1","paidtelevision"
"yangaexclamationmark","paidtelevision"
"yester","paidtelevision"
"yorks3","paidtelevision"
"yorks3h","paidtelevision"
"yorks3plus1","paidtelevision"
"yorksbs3","paidtelevision"
"yorkses3","paidtelevision"
"yourpaidtelevision","paidtelevision"
"yourtv","paidtelevision"
"youtubevideos","paidvideo"
"ytt3","paidtelevision"
"ytt3h","paidtelevision"
"ytt3plus1","paidtelevision"
"zeepaidtelevision","paidtelevision"
"zing","paidtelevision"
"clubmtv","paidtelevision"
"htvww3plus1","paidtelevision"
"mtvomg","paidtelevision"
"ndtv24x7","paidtelevision"
"ntveur","paidtelevision"
"primetv","paidtelevision"
"ptvgloba","paidtelevision"
"stv2","paidtelevision"
"tv99","paidtelevision"
"venustv","paidtelevision"
"forcestv","paidtelevision"
"newvistv","paidtelevision"
"roktv","paidtelevision"
"zeetv","paidtelevision"
